district_id,district_name,village_count,area_ha_source,regency_name,province_name
63.06.01,Sungai Raya,18,6356.749903473,Hulu Sungai Selatan,Kalimantan Selatan
63.06.02,Padang Batung,17,20784.680099098,Hulu Sungai Selatan,Kalimantan Selatan
63.06.03,Telaga Langsat,11,6221.226270303,Hulu Sungai Selatan,Kalimantan Selatan
63.06.04,Angkinang,11,5632.99338169,Hulu Sungai Selatan,Kalimantan Selatan
63.06.05,Kandangan,18,9606.07201913,Hulu Sungai Selatan,Kalimantan Selatan
63.06.06,Simpur,11,9238.362773473,Hulu Sungai Selatan,Kalimantan Selatan
63.06.07,Daha Selatan,16,25459.7928042309,Hulu Sungai Selatan,Kalimantan Selatan
63.06.08,Daha Utara,19,25439.661367523102,Hulu Sungai Selatan,Kalimantan Selatan
63.06.09,Kalumpang,9,11574.307636561001,Hulu Sungai Selatan,Kalimantan Selatan
63.06.10,Loksado,11,31375.156762439998,Hulu Sungai Selatan,Kalimantan Selatan
63.06.11,Daha Barat,7,18033.430791856,Hulu Sungai Selatan,Kalimantan Selatan
