village_id,village_name,admin_type,district_id,district_name,regency_code,regency_name,province_name,area_ha_source,boundary_basis,metadata_source
63.06.05.2016,Amawang Kanan,Desa,63.06.05,Kandangan,63.06,Hulu Sungai Selatan,Kalimantan Selatan,155.082451344,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.05.2014,Amawang Kiri,Desa,63.06.05,Kandangan,63.06,Hulu Sungai Selatan,Kalimantan Selatan,559.655753805,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.05.2015,Amawang Kiri Muka,Desa,63.06.05,Kandangan,63.06,Hulu Sungai Selatan,Kalimantan Selatan,133.549590457,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.03.2004,Ambutun,Desa,63.06.03,Telaga Langsat,63.06,Hulu Sungai Selatan,Kalimantan Selatan,574.490886873,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.06.2004,Amparaya,Desa,63.06.06,Simpur,63.06,Hulu Sungai Selatan,Kalimantan Selatan,1140.15171647,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.04.2005,Angkinang,Desa,63.06.04,Angkinang,63.06,Hulu Sungai Selatan,Kalimantan Selatan,385.226606402,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.04.2007,Angkinang Selatan,Desa,63.06.04,Angkinang,63.06,Hulu Sungai Selatan,Kalimantan Selatan,146.959056356,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.01.2014,Asam,Desa,63.06.01,Sungai Raya,63.06,Hulu Sungai Selatan,Kalimantan Selatan,330.314384616,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.11.2004,Badaun,Desa,63.06.11,Daha Barat,63.06,Hulu Sungai Selatan,Kalimantan Selatan,372.327558456,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.09.2003,Bago Tanggul,Desa,63.06.09,Kalumpang,63.06,Hulu Sungai Selatan,Kalimantan Selatan,2446.44686054,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.11.2005,Bajayau,Desa,63.06.11,Daha Barat,63.06,Hulu Sungai Selatan,Kalimantan Selatan,2539.96088877,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.11.2007,Bajayau Lama,Desa,63.06.11,Daha Barat,63.06,Hulu Sungai Selatan,Kalimantan Selatan,2994.24784959,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.11.2006,Bajayau Tengah,Desa,63.06.11,Daha Barat,63.06,Hulu Sungai Selatan,Kalimantan Selatan,1729.94408663,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.04.2011,Bakarung,Desa,63.06.04,Angkinang,63.06,Hulu Sungai Selatan,Kalimantan Selatan,421.525834838,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.08.2008,Balah Paikat,Desa,63.06.08,Daha Utara,63.06,Hulu Sungai Selatan,Kalimantan Selatan,55.6814588323,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.09.2005,Balanti,Desa,63.06.09,Kalumpang,63.06,Hulu Sungai Selatan,Kalimantan Selatan,1221.75707398,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.09.2001,Balimau,Desa,63.06.09,Kalumpang,63.06,Hulu Sungai Selatan,Kalimantan Selatan,3007.85957619,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.05.2018,Baluti,Desa,63.06.05,Kandangan,63.06,Hulu Sungai Selatan,Kalimantan Selatan,232.644867149,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.04.2002,Bamban,Desa,63.06.04,Angkinang,63.06,Hulu Sungai Selatan,Kalimantan Selatan,285.245935028,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
63.06.04.2003,Bamban Selatan,Desa,63.06.04,Angkinang,63.06,Hulu Sungai Selatan,Kalimantan Selatan,199.43270166,Hasil Delineasi Batas Desa 2018,TASWIL1000020230928_DATA_BATAS_DESAKELURAHAN
