source_system,source_record_no,source_reported_road_no,source_name,source_district,road_key,canonical_display_name,match_method,evidence,match_status
historical_normative_workbook,1,035,AES Nasution,Kandangan,HSS-KAB-035,AES Nasution,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,2,234,Air Miris - Ds. Wasah Hilir,Simpur,HSS-KAB-234,Air Miris - Ds. Wasah Hilir,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,3,345,Al - Ikhlas - Ds. Baluti,Kandangan,HSS-KAB-345,Al - Ikhlas - Ds. Baluti,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,4,008,Aluh Idut,Kandangan,HSS-KAB-008,Aluh Idut,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,5,032,Amawang Kanan - Wasah Hulu,"Kandangan, Simpur",HSS-KAB-032,Amawang Kanan - Wasah Hulu,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,6,031,Amawang Muka - Getek,Kandangan,HSS-KAB-031,Amawang Muka - Getek,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,7,149,Ambarai - Madang,Padang Batung,HSS-KAB-139,Ambarai - Madang,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,8,187,AMD - Ds. Lok Binuang,Telaga Langsat,HSS-KAB-187,AMD - Ds. Lok Binuang,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,9,214,Amparaya - Karangan - Hanau,Simpur,HSS-KAB-214,Amparaya - Karangan - Hanau,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,10,011,Anggrek,Kandangan,HSS-KAB-011,Anggrek,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,11,346,Angkakai - Ds. Amawang Kiri,Kandangan,HSS-KAB-346,Angkakai - Ds. Amawang Kiri,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,12,178,Angkinang - Kayu Abang - Panggang Hijau,Angkinang,HSS-KAB-178,Angkinang - Kayu Abang - Panggang Hijau,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,13,175,Angkinang - Telaga Langsat,"Angkinang, Telaga Langsat",HSS-KAB-175,Angkinang - Telaga Langsat,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,14,172,Angkinang Selatan - Tawia - Wawaran,Angkinang,HSS-KAB-172,Angkinang Selatan - Tawia - Wawaran,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,15,347,Anjiran Rantauan - Ds. Taniran Tengah,Angkinang,HSS-KAB-347,Anjiran Rantauan - Ds. Taniran Tengah,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,16,097,Asam Cangkuk - Telaga Bidadari,"Kandangan, Simpur, Sungai Raya",HSS-KAB-097,Asam Cangkuk - Telaga Bidadari,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,17,348,Asam Duhat - Ds. Pantai Ulin,Simpur,HSS-KAB-348,Asam Duhat - Ds. Pantai Ulin,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,18,123,Asam Seranggan - Asam Tamiyang,Sungai Raya,HSS-KAB-123,Asam Seranggan - Asam Tamiyang,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,19,238,At-Taubah - Ds. Kapuh,Simpur,HSS-KAB-238,At-Taubah - Ds. Kapuh,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,20,343,Badaun - Ds. Bjayau Lama,Daha Barat,HSS-KAB-343,Badaun - Ds. Bjayau Lama,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,21,249,Bago Tanggul - Katilang - Teratai,Kalumpang,HSS-KAB-249,Bago Tanggul - Katilang - Teratai,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,22,069,Baiturrahim Parincahan,Kandangan,HSS-KAB-069,Baiturrahim Parincahan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,23,340,Bajayau - Ds. Bajayau Tengah,Daha Barat,HSS-KAB-340,Bajayau - Ds. Bajayau Tengah,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,24,167,Bakarung - Rantauan,"Angkinang, Kandangan",HSS-KAB-167,Bakarung - Rantauan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,25,179,Bakarung -Tabihi - Karang Jawa,"Angkinang, Padang Batung",HSS-KAB-169,Bakarung -Tabihi - Karang Jawa,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,26,056,Bakarung Tengah - Karang Jawa,"Kandangan, Padang Batung",HSS-KAB-056,Bakarung Tengah - Karang Jawa,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,27,219,Balaimas - Hanau,Simpur,HSS-KAB-219,Balaimas - Hanau,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,28,251,Balanti - (Ex. P3DT),Kalumpang,HSS-KAB-251,Balanti - (Ex. P3DT),EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,29,256,Balimau - Murung Dalam,Kalumpang,HSS-KAB-256,Balimau - Murung Dalam,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,30,040,Baluti - Jambu Hulu (Paku),"Kandangan, Padang Batung",HSS-KAB-040,Baluti - Jambu Hulu (Paku),EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,31,191,Bamban (Tibung) - Martajiwa,Angkinang,HSS-KAB-191,Bamban (Tibung) - Martajiwa,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,32,176,Bamban Selatan - Pakuan,"Angkinang, Telaga Langsat",HSS-KAB-176,Bamban Selatan - Pakuan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,33,199,Bamban Selatan - Pakuan Balunan,Angkinang,HSS-KAB-189,Bamban Selatan - Pakuan Balunan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,34,174,Bamban Selatan - Tanggang - Panggang Hijau,Angkinang,HSS-KAB-174,Bamban Selatan - Tanggang - Panggang Hijau,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,35,181,Bamban Tengah - Lok Nyiur,Angkinang,HSS-KAB-181,Bamban Tengah - Lok Nyiur,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,36,177,Bamban Utara - Longawang,"Angkinang, Telaga Langsat",HSS-KAB-177,Bamban Utara - Longawang,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,37,112,Bangga TMMD,Sungai Raya,HSS-KAB-112,Bangga TMMD,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,38,341,Banua Hanyar - Ds. Tanjung Selor,"Daha Barat, Daha Selatan",HSS-KAB-341,Banua Hanyar - Ds. Tanjung Selor,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,39,243,Banua Kambang - Ds. Wasah Tengah,Simpur,HSS-KAB-243,Banua Kambang - Ds. Wasah Tengah,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,40,050,Banyu Barau - Sei Kalang,Kandangan,HSS-KAB-050,Banyu Barau - Sei Kalang,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,41,046,Bariang - Getek,Kandangan,HSS-KAB-046,Bariang - Getek,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,42,075,Bariang - Patigan,Kandangan,HSS-KAB-075,Bariang - Patigan,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,43,125,Baru - Asam Desa Baru,Sungai Raya,HSS-KAB-125,Baru - Asam Desa Baru,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,44,339,Baru - Ds. Bajayau,Daha Barat,HSS-KAB-339,Baru - Ds. Bajayau,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
historical_normative_workbook,45,130,Batang Kulur Kanan - Batang Kulur Kiri,Sungai Raya,HSS-KAB-130,Batang Kulur Kanan - Batang Kulur Kiri,EXACT_NORMALIZED_OR_APPROVED_ALIAS,Unique match against canonical/dashboard/QGIS names and approved alias registry,VERIFIED
