source_system,source_record_id,source_name,bridge_source,road_key,canonical_display_name,match_method,match_status
dataset_ml_clean,325,AES Nasution,historical_normative_workbook.nama_ruas,HSS-KAB-035,AES Nasution,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,189,Air Miris - Ds. Wasah Hilir,historical_normative_workbook.nama_ruas,HSS-KAB-234,Air Miris - Ds. Wasah Hilir,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,285,Al - Ikhlas - Ds. Baluti,historical_normative_workbook.nama_ruas,HSS-KAB-345,Al - Ikhlas - Ds. Baluti,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,160,Aluh Idut,historical_normative_workbook.nama_ruas,HSS-KAB-008,Aluh Idut,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,75,Amawang Kanan - Wasah Hulu,historical_normative_workbook.nama_ruas,HSS-KAB-032,Amawang Kanan - Wasah Hulu,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,33,Amawang Muka - Getek,historical_normative_workbook.nama_ruas,HSS-KAB-031,Amawang Muka - Getek,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,133,Ambarai - Madang,historical_normative_workbook.nama_ruas,HSS-KAB-139,Ambarai - Madang,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,148,AMD - Ds. Lok Binuang,historical_normative_workbook.nama_ruas,HSS-KAB-187,AMD - Ds. Lok Binuang,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,53,Amparaya - Karangan - Hanau,historical_normative_workbook.nama_ruas,HSS-KAB-214,Amparaya - Karangan - Hanau,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,328,Anggrek,historical_normative_workbook.nama_ruas,HSS-KAB-011,Anggrek,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,280,Angkakai - Ds. Amawang Kiri,historical_normative_workbook.nama_ruas,HSS-KAB-346,Angkakai - Ds. Amawang Kiri,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,18,Angkinang - Kayu Abang - Panggang Hijau,historical_normative_workbook.nama_ruas,HSS-KAB-178,Angkinang - Kayu Abang - Panggang Hijau,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,32,Angkinang - Telaga Langsat,historical_normative_workbook.nama_ruas,HSS-KAB-175,Angkinang - Telaga Langsat,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,26,Angkinang Selatan - Tawia - Wawaran,historical_normative_workbook.nama_ruas,HSS-KAB-172,Angkinang Selatan - Tawia - Wawaran,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,175,Anjiran Rantauan - Ds. Taniran Tengah,historical_normative_workbook.nama_ruas,HSS-KAB-347,Anjiran Rantauan - Ds. Taniran Tengah,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,212,Asam Cangkuk - Telaga Bidadari,historical_normative_workbook.nama_ruas,HSS-KAB-097,Asam Cangkuk - Telaga Bidadari,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,183,Asam Duhat - Ds. Pantai Ulin,historical_normative_workbook.nama_ruas,HSS-KAB-348,Asam Duhat - Ds. Pantai Ulin,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,194,Asam Seranggan - Asam Tamiyang,historical_normative_workbook.nama_ruas,HSS-KAB-123,Asam Seranggan - Asam Tamiyang,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,267,At-Taubah - Ds. Kapuh,historical_normative_workbook.nama_ruas,HSS-KAB-238,At-Taubah - Ds. Kapuh,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
dataset_ml_clean,78,Badaun - Ds. Bjayau Lama,historical_normative_workbook.nama_ruas,HSS-KAB-343,Badaun - Ds. Bjayau Lama,EXACT_SOURCE_NAME_TO_HISTORICAL_THEN_VERIFIED_CANONICAL,VERIFIED
