road_key,canonical_display_name,alias_name,source_system,alias_role
HSS-KAB-001,Pangeran Antasari - Loklua,Jl. Pangeran Antasari - Loklua,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-001,Pangeran Antasari - Loklua,Jl. Pangeran Antasari - SP. Loklua,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-002,Soeprapto - Jl. H.M Rusli,Jl. Soeprapto - Jl. H.M Rusli,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-002,Soeprapto - Jl. H.M Rusli,Jl. Soeprapto - Jl. HM. Rusli,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-003,Pasar Kandangan - Oprit Jembt. Loklua,Jl. Pasar Kandangan - Oprit Jembt. Loklua,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-003,Pasar Kandangan - Oprit Jembt. Loklua,Jl. Pasar Kandangan - Oprit Jembatan Loklua,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-004,Soetoyo - Teluk Mesjid,Jl. Soetoyo - Teluk Mesjid,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-005,Teluk Mesjid - Sp. 4 Muara Banta,Jl. Teluk Mesjid - Sp. 4 Muara Banta,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-005,Teluk Mesjid - Sp. 4 Muara Banta,Jl. Teluk Mesjid - SP.4 Muara Banta,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-006,Merah Johansyah - Jl. Melati,Jl. Merah Johansyah - Jl. Melati,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-007,Menuju Stadion 2 Desember,Jl. Menuju Stadion 2 Desember,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-008,Aluh Idut,Jl. Aluh Idut,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-009,Panglima Batur,Jl. Panglima Batur,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-010,Nusa Indah,Jl. Nusa Indah,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-011,Anggrek,Jl. Anggrek,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-012,Kenanga,Jl. Kenanga,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-013,Mawar (Kandangan Utara),Jl. Mawar,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-014,Kamboja,Jl. Kamboja,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-015,Dahlia,Jl. Dahlia,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-016,KS. Tubun,Jl. KS. Tubun,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-017,Pemuda,Jl. Pemuda,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-018,Parindra,Jl. Parindra,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-019,Wahab Syahrani,Jl. Wahab Syahrani,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-020,Musyawarah (Kandangan),Jl. Musyawarah,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-021,Sekolah Islam (Kandangan Barat),Jl. Sekolah Islam,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-022,Rahmah Bahran,Jl. Rahmah Bahran,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-022,Rahmah Bahran,Jl. Rahma Bahran,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-023,Brigjen Katamso,Jl. Brigjen Katamso,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-023,Brigjen Katamso,Jl. Brigjend. Katamso,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-024,Kolonel Sugiono,Jl. Kolonel Sugiono,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-024,Kolonel Sugiono,JL. Kolonel Sugiono,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-025,Singakarsa - Palas,Singakarsa - Palas,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-026,Singakarsa - Getek,Singakarsa - Getek,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-027,Parincahan - Singakarsa (Jl. Harapan),Parincahan - Singakarsa (Jl. Harapan),dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-028,Budi Bakti - Tiga Desember,Budi Bakti - Tiga Desember,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-028,Budi Bakti - Tiga Desember,Jl. Budi Bakti - Tiga Desember,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-029,Jafri Zamzam,Jl. Jafri Zamzam,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-030,Sungai Damang - Amawang Kiri,Sungai Damang - Amawang Kiri,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-031,Amawang Muka - Getek,Amawang Muka - Getek,dashboard_2025,IMPORT_SEARCH_ONLY
