road_id,road_key,nomor_ruas,canonical_name,display_name,qgis_source_road_code,qgis_source_name,district_2025,village_source_qgis,historical_source_name,historical_source_record_no,historical_reported_road_no,ml_source_record_id,ml_source_name,identity_status
ee4b422a-8cbd-51c6-af35-c06348be875d,HSS-KAB-001,001,Jl. Pangeran Antasari - Loklua,Pangeran Antasari - Loklua,001,Jl. Pangeran Antasari - SP. Loklua,Kandangan,Kandangan Kota - Ds. Baluti,Pangeran Antasari - Loklua,214,001,253,Pangeran Antasari - Loklua,AUTHORITATIVE_V1
bbaca3f0-0761-5618-ab2a-857962f7573b,HSS-KAB-002,002,Jl. Soeprapto - Jl. H.M Rusli,Soeprapto - Jl. H.M Rusli,002,Jl. Soeprapto - Jl. HM. Rusli,Kandangan,Kandangan Kota,Soeprapto - H.M Rusli,266,002,261,Soeprapto - H.M Rusli,AUTHORITATIVE_V1
e734b109-3300-506c-8820-45349bb6ecfa,HSS-KAB-003,003,Jl. Pasar Kandangan - Oprit Jembt. Loklua,Pasar Kandangan - Oprit Jembt. Loklua,003,Jl. Pasar Kandangan - Oprit Jembatan Loklua,Kandangan,Kandangan Kota,Pasar Kandangan - Oprit Jembt. Loklua,226,003,317,Pasar Kandangan - Oprit Jembt. Loklua,AUTHORITATIVE_V1
cc70e200-dea4-59de-a6cd-39e84355a322,HSS-KAB-004,004,Jl. Soetoyo - Teluk Mesjid,Soetoyo - Teluk Mesjid,004,Jl. Soetoyo - Teluk Mesjid,Kandangan,Kandangan Kota,Soetoyo - Teluk Mesjid,267,004,323,Soetoyo - Teluk Mesjid,AUTHORITATIVE_V1
d8432a7a-8f28-5608-8fd6-2ec839d27aea,HSS-KAB-005,005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,Teluk Mesjid - Sp. 4 Muara Banta,005,Jl. Teluk Mesjid - SP.4 Muara Banta,Kandangan,Kandangan Kota,Teluk Mesjid - Sp. 4 Muara Banta,326,005,157,Teluk Mesjid - Sp. 4 Muara Banta,AUTHORITATIVE_V1
d99d0f8e-b1cb-5b59-9cf1-65e8b4be0772,HSS-KAB-006,006,Jl. Merah Johansyah - Jl. Melati,Merah Johansyah - Jl. Melati,006,Jl. Merah Johansyah - Jl. Melati,Kandangan,Kandangan Kota,Merah Johansyah - Melati,174,006,216,Merah Johansyah - Melati,AUTHORITATIVE_V1
d69f6fb1-9fb4-5f69-81c3-9d99c4998a05,HSS-KAB-007,007,Jl. Menuju Stadion 2 Desember,Menuju Stadion 2 Desember,007,Jl. Menuju Stadion 2 Desember,Kandangan,Ds. Baluti,Menuju Stadion 2 Desember,173,007,311,Menuju Stadion 2 Desember,AUTHORITATIVE_V1
ec69190b-9671-5012-a17e-681bea59d85b,HSS-KAB-008,008,Jl. Aluh Idut,Aluh Idut,008,Jl. Aluh Idut,Kandangan,Kandangan Kota - Kandangan Utara,Aluh Idut,4,008,160,Aluh Idut,AUTHORITATIVE_V1
ece10016-67d3-5058-9a6d-6cb2b90a3fd0,HSS-KAB-009,009,Jl. Panglima Batur,Panglima Batur,009,Jl. Panglima Batur,Kandangan,Kandangan Kota - Kandangan Utara,Panglima Batur,216,009,186,Panglima Batur,AUTHORITATIVE_V1
a3d433cf-d384-57ee-9660-72b2fb240edb,HSS-KAB-010,010,Jl. Nusa Indah,Nusa Indah,010,Jl. Nusa Indah,Kandangan,Kandangan Utara,Nusa Indah,193,010,287,Nusa Indah,AUTHORITATIVE_V1
3c8f50f8-34f8-5658-b73f-8209b7f2ae7b,HSS-KAB-011,011,Jl. Anggrek,Anggrek,011,Jl. Anggrek,Kandangan,Kandangan Utara,Anggrek,10,011,328,Anggrek,AUTHORITATIVE_V1
d4afb532-7f1c-5116-96e6-856d656ce53e,HSS-KAB-012,012,Jl. Kenanga,Kenanga,012,Jl. Kenanga,Kandangan,Kandangan Utara,Kenanga,138,012,329,Kenanga,AUTHORITATIVE_V1
09027444-0312-5399-ab1e-1a7c964dca6f,HSS-KAB-013,013,Jl. Mawar,Mawar (Kandangan Utara),013,Jl. Mawar,Kandangan,Kandangan Utara,Mawar (Kandangan Utara),169,013,319,Mawar (Kandangan Utara),AUTHORITATIVE_V1
4c3861ad-7fa1-5951-953e-3a582417ab46,HSS-KAB-014,014,Jl. Kamboja,Kamboja,014,Jl. Kamboja,Kandangan,Kandangan Utara,Kamboja,125,014,335,Kamboja,AUTHORITATIVE_V1
c1c48a62-b31e-5755-9182-7b8437be6e42,HSS-KAB-015,015,Jl. Dahlia,Dahlia,015,Jl. Dahlia,Kandangan,Kandangan Utara,Dahlia,64,015,341,Dahlia,AUTHORITATIVE_V1
5a6ad37b-a078-520c-99d1-91a473fec52c,HSS-KAB-016,016,Jl. KS. Tubun,KS. Tubun,016,Jl. KS. Tubun,Kandangan,Kandangan Utara,KS. Tubun,144,016,199,KS. Tubun,AUTHORITATIVE_V1
b2d8f176-94e8-5b04-925b-ce2d29f1ee2a,HSS-KAB-017,017,Jl. Pemuda,Pemuda,017,Jl. Pemuda,Kandangan,Kandangan Kota,Pemuda,229,017,322,Pemuda,AUTHORITATIVE_V1
80662a35-0fd3-53a9-a950-45cca8337533,HSS-KAB-018,018,Jl. Parindra,Parindra,018,Jl. Parindra,Kandangan,Kandangan Utara,Parindra,225,018,316,Parindra,AUTHORITATIVE_V1
9e8380de-b496-5b28-b1f2-a95e5e185f0a,HSS-KAB-019,019,Jl. Wahab Syahrani,Wahab Syahrani,019,Jl. Wahab Syahrani,Kandangan,Kandangan Barat,Wahab Syahrani,346,019,348,Wahab Syahrani,AUTHORITATIVE_V1
3941e7a5-4ca0-5dee-8be4-5512afa77a5f,HSS-KAB-020,020,Jl. Musyawarah,Musyawarah (Kandangan),020,Jl. Musyawarah,Kandangan,Kandangan Kota,Musyawarah (Kandangan),187,020,277,Musyawarah (Kandangan),AUTHORITATIVE_V1
fc8e6b9e-151b-566a-a5f2-4d5284b83120,HSS-KAB-021,021,Jl. Sekolah Islam,Sekolah Islam (Kandangan Barat),021,Jl. Sekolah Islam,Kandangan,Kandangan Barat,Sekolah Islam (Kandangan Barat),250,021,281,Sekolah Islam (Kandangan Barat),AUTHORITATIVE_V1
2a3ef9f5-cd5d-50f7-8e73-465150d1f0d6,HSS-KAB-022,022,Jl. Rahmah Bahran,Rahmah Bahran,022,Jl. Rahma Bahran,Kandangan,Kandangan Barat,Rahmah Bahran,235,022,332,Rahmah Bahran,AUTHORITATIVE_V1
a7bbf3ed-b75d-59c4-ada6-2f53f1f6cc6f,HSS-KAB-023,023,Jl. Brigjen Katamso,Brigjen Katamso,023,Jl. Brigjend. Katamso,Kandangan,Kandangan Barat,Brigjen Katamso,56,023,291,Brigjen Katamso,AUTHORITATIVE_V1
