road_key,nomor_ruas,year,baik_km,baik_pct,sedang_km,sedang_pct,rusak_ringan_km,rusak_ringan_pct,rusak_berat_km,rusak_berat_pct,mantap_km,mantap_pct,tidak_mantap_km,tidak_mantap_pct,source_category,source_file,source_sheet,authority_status
HSS-KAB-001,001,2025,0,0,0.36,64.285717,0.2,35.714286,0,0,0.36,64.285717,0.2,35.714286,Tidak Mantap Sedang,Dashboard_Analitik_Data_Jalan_2025_Revisi.xlsx,Data_Analitik,FINAL_2025
HSS-KAB-002,002,2025,0,0,0.52,99.999996,0,0,0,0,0.52,99.999996,0,0,Relatif Mantap,Dashboard_Analitik_Data_Jalan_2025_Revisi.xlsx,Data_Analitik,FINAL_2025
HSS-KAB-003,003,2025,0.28,100.0,0,0,0,0,0,0,0.28,100.0,0,0,Relatif Mantap,Dashboard_Analitik_Data_Jalan_2025_Revisi.xlsx,Data_Analitik,FINAL_2025
HSS-KAB-004,004,2025,0.26,99.999996,0,0,0,0,0,0,0.26,99.999996,0,0,Relatif Mantap,Dashboard_Analitik_Data_Jalan_2025_Revisi.xlsx,Data_Analitik,FINAL_2025
HSS-KAB-005,005,2025,0,0,1.23,86.013987,0.2,13.986014,0,0,1.23,86.013987,0.2,13.986014,Relatif Mantap,Dashboard_Analitik_Data_Jalan_2025_Revisi.xlsx,Data_Analitik,FINAL_2025
HSS-KAB-006,006,2025,0.82,99.999999,0,0,0,0,0,0,0.82,99.999999,0,0,Relatif Mantap,Dashboard_Analitik_Data_Jalan_2025_Revisi.xlsx,Data_Analitik,FINAL_2025
HSS-KAB-007,007,2025,0,0,0.29,99.999997,0,0,0,0,0.29,99.999997,0,0,Relatif Mantap,Dashboard_Analitik_Data_Jalan_2025_Revisi.xlsx,Data_Analitik,FINAL_2025
HSS-KAB-008,008,2025,0.5,37.313433,0.84,62.686565,0,0,0,0,1.34,99.999998,0,0,Relatif Mantap,Dashboard_Analitik_Data_Jalan_2025_Revisi.xlsx,Data_Analitik,FINAL_2025
HSS-KAB-009,009,2025,0.8,73.394497,0.29,26.605504,0,0,0,0,1.09,100.0,0,0,Relatif Mantap,Dashboard_Analitik_Data_Jalan_2025_Revisi.xlsx,Data_Analitik,FINAL_2025
HSS-KAB-010,010,2025,0.2,52.63158,0.18,47.368423,0,0,0,0,0.38,100.000003,0,0,Relatif Mantap,Dashboard_Analitik_Data_Jalan_2025_Revisi.xlsx,Data_Analitik,FINAL_2025
