road_key,road_geometry_id,source_road_code,source_object_id_nonunique,candidate_nomor_ruas,identity_match_status,display_name,village_count_spatial,villages_spatial,district_count_spatial,districts_spatial
HSS-KAB-001,hss-county-001,001,1,,unresolved,Jl. Pangeran Antasari - SP. Loklua,2,Baluti; Kandangan Kota,1,Kandangan
HSS-KAB-002,hss-county-002,002,2,002,treatment_engine_alias,Jl. Soeprapto - Jl. HM. Rusli,1,Kandangan Kota,1,Kandangan
HSS-KAB-003,hss-county-003,003,3,003,treatment_engine_alias,Jl. Pasar Kandangan - Oprit Jembatan Loklua,1,Kandangan Kota,1,Kandangan
HSS-KAB-004,hss-county-004,004,4,004,exact_normalized,Jl. Soetoyo - Teluk Mesjid,1,Kandangan Kota,1,Kandangan
HSS-KAB-005,hss-county-005,005,5,005,exact_normalized,Jl. Teluk Mesjid - SP.4 Muara Banta,1,Kandangan Kota,1,Kandangan
HSS-KAB-006,hss-county-006,006,326,006,exact_normalized,Jl. Merah Johansyah - Jl. Melati,2,Kandangan Kota; Kandangan Utara,1,Kandangan
HSS-KAB-007,hss-county-007,007,58,007,exact_normalized,Jl. Menuju Stadion 2 Desember,1,Baluti,1,Kandangan
HSS-KAB-008,hss-county-008,008,13,008,exact_normalized,Jl. Aluh Idut,3,Kandangan Barat; Kandangan Kota; Kandangan Utara,1,Kandangan
HSS-KAB-009,hss-county-009,009,18,009,exact_normalized,Jl. Panglima Batur,3,Kandangan Barat; Kandangan Kota; Kandangan Utara,1,Kandangan
HSS-KAB-010,hss-county-010,010,15,010,exact_normalized,Jl. Nusa Indah,1,Kandangan Utara,1,Kandangan
HSS-KAB-011,hss-county-011,011,10,011,exact_normalized,Jl. Anggrek,1,Kandangan Utara,1,Kandangan
HSS-KAB-012,hss-county-012,012,11,012,exact_normalized,Jl. Kenanga,1,Kandangan Utara,1,Kandangan
HSS-KAB-013,hss-county-013,013,54,,unresolved,Mawar (Kandangan Utara),1,Kandangan Utara,1,Kandangan
HSS-KAB-014,hss-county-014,014,38,014,exact_normalized,Jl. Kamboja,1,Kandangan Utara,1,Kandangan
HSS-KAB-015,hss-county-015,015,14,015,exact_normalized,Jl. Dahlia,1,Kandangan Utara,1,Kandangan
HSS-KAB-016,hss-county-016,016,9,016,exact_normalized,Jl. KS. Tubun,2,Kandangan Barat; Kandangan Utara,1,Kandangan
HSS-KAB-017,hss-county-017,017,6,017,exact_normalized,Jl. Pemuda,1,Kandangan Kota,1,Kandangan
HSS-KAB-018,hss-county-018,018,8,018,exact_normalized,Jl. Parindra,2,Kandangan Kota; Kandangan Utara,1,Kandangan
HSS-KAB-019,hss-county-019,019,7,019,exact_normalized,Jl. Wahab Syahrani,1,Kandangan Barat,1,Kandangan
HSS-KAB-020,hss-county-020,020,7,,unresolved,Musyawarah (Kandangan),2,Kandangan Barat; Kandangan Kota,1,Kandangan
HSS-KAB-021,hss-county-021,021,43,,unresolved,Sekolah Islam (Kandangan Barat),1,Kandangan Barat,1,Kandangan
HSS-KAB-022,hss-county-022,022,44,022,treatment_engine_alias,Jl. Rahma Bahran,2,Kandangan Barat; Kandangan Kota,1,Kandangan
HSS-KAB-023,hss-county-023,023,16,023,treatment_engine_alias,Jl. Brigjend. Katamso,1,Kandangan Barat,1,Kandangan
HSS-KAB-024,hss-county-024,024,17,024,exact_normalized,JL. Kolonel Sugiono,1,Kandangan Barat,1,Kandangan
HSS-KAB-025,hss-county-025,025,27,025,exact_normalized,Singakarsa - Palas,6,Amawang Kiri Muka; Kandangan Barat; Kandangan Kota; Lungau; Sungai Kupang; Tibung Raya,1,Kandangan
HSS-KAB-026,hss-county-026,026,338,026,exact_normalized,Singakarsa - Getek,2,Amawang Kiri Muka; Kandangan Barat,1,Kandangan
HSS-KAB-027,hss-county-027,027,48,027,exact_normalized,Parincahan - Singakarsa (Jl. Harapan),1,Kandangan Barat,1,Kandangan
HSS-KAB-028,hss-county-028,028,19,028,exact_normalized,Jl. Budi Bakti - Tiga Desember,3,Amawang Kiri Muka; Kandangan Barat; Tibung Raya,1,Kandangan
HSS-KAB-029,hss-county-029,029,20,029,exact_normalized,Jl. Jafri Zamzam,3,Amawang Kanan; Amawang Kiri Muka; Bariang,1,Kandangan
HSS-KAB-030,hss-county-030,030,709,030,exact_normalized,Sungai Damang - Amawang Kiri,2,Bariang; Sungai Paring,1,Kandangan
HSS-KAB-031,hss-county-031,031,22,031,exact_normalized,Amawang Muka - Getek,4,Amawang Kiri; Amawang Kiri Muka; Bariang; Sungai Paring,1,Kandangan
