no,nama_ruas,nama_ruas_norm,desa_yang_dilalui,kecamatan_yang_dilalui,jumlah_desa_yang_dilalui,jumlah_kecamatan_yang_dilalui,jumlah_penduduk_dilayani,terhubung_ruas_provinsi,terhubung_ruas_nasional,jarak_pasar_m,jarak_puskesmas_m,jarak_rsud_m,jarak_sd_smp_m,jarak_ibukota_m,akses_terputus_ibukota,akses_terputus_pasar,akses_terputus_puskesmas,akses_terputus_rsud,akses_terputus_sd_smp,prior_handled_any_pre2024,prior_handled_count_pre2024,prior_handled_last_year_pre2024,years_since_last_handled_pre2024,prior_handled_any_pre2025,prior_handled_count_pre2025,prior_handled_last_year_pre2025,years_since_last_handled_pre2025,prior_handled_any_pre2026,prior_handled_count_pre2026,prior_handled_last_year_pre2026,years_since_last_handled_pre2026,handled_any_2021,handled_any_2022,handled_any_2023,handled_any_2024,handled_any_2025,handled_pl_2021,handled_pl_2022,handled_pl_2023,handled_pl_2024,handled_pl_2025,handled_tender_2021,handled_tender_2022,handled_tender_2023,handled_tender_2024,handled_tender_2025,planned_any_2026,planned_any_2027,planned_pl_2026,planned_pl_2027,planned_tender_2026,planned_tender_2027,source_ml_road_id
1,AES Nasution,aes nasution,Baluti,Kandangan,1,1,1377,0,0,714.1,954.7,1467.1,166.2,395.8,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,035
2,Air Miris - Ds. Wasah Hilir,air miris – desa wasah hilir,"Wasah Hilir, Wasah Tengah",Simpur,2,1,1294,0,1,961.1,2012.5,5681,667.2,6453.8,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
3,Al - Ikhlas - Ds. Baluti,al – ikhlas – desa baluti,"Baluti, Tibung Raya",Kandangan,2,1,2315,0,0,1257.5,1407.6,1286.8,425.9,1575.8,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,345
4,Aluh Idut,aluh idut,"Kandangan Barat, Kandangan Kota, Kandangan Utara",Kandangan,3,1,6205,0,1,1109.5,461.8,2807.8,138.8,944.9,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,008
5,Amawang Kanan - Wasah Hulu,amawang kanan – wasah hulu,"Amawang Kanan, Wasah Hulu","Kandangan, Simpur",2,2,1122,0,1,3281,1687.3,2540.2,459.8,3136,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,032
6,Amawang Muka - Getek,amawang muka – getek,"Amawang Kiri, Amawang Kiri Muka, Bariang, Sungai Paring",Kandangan,4,1,2479,0,0,4114.1,3726.6,5380,191.1,3795.8,0,0,0,0,0,1,2,2023,1,1,2,2023,2,1,3,2025,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,031
7,Ambarai - Madang,ambarai – madang,"Karang Jawa, Madang",Padang Batung,2,1,1088,0,0,2381.2,3220.9,7125.8,1028.5,5524.6,0,0,0,0,0,0,0,,,1,1,2024,1,1,1,2024,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,149
8,AMD - Ds. Lok Binuang,amd – desa lok binuang,"Lok Binuang, Telaga Langsat",Telaga Langsat,2,1,763,0,0,4179.5,2818.2,13938.7,1329.4,12075.8,0,0,0,0,0,0,0,,,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,187
9,Amparaya - Karangan - Hanau,amparaya – karangan – hanau,"Amparaya, Panjampang Bahagia",Simpur,2,1,1032,0,0,4608.7,5179.2,10259.5,1207.7,10424.2,0,0,0,0,0,1,3,2023,1,1,3,2023,2,1,3,2023,3,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,214
10,Anggrek,anggrek,"Kandangan Kota, Kandangan Utara",Kandangan,2,1,4331,0,0,781.6,796.9,2773.5,196.3,910.6,0,0,0,0,0,1,1,2023,1,1,1,2023,2,1,1,2023,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,011
