road_key,road_geometry_id,source_road_code,source_object_id,candidate_nomor_ruas,identity_match_status,display_name,district_id,district_name,intersection_length_m
HSS-KAB-001,hss-county-001,001,1,,unresolved,Jl. Pangeran Antasari - SP. Loklua,63.06.05,Kandangan,580.65
HSS-KAB-002,hss-county-002,002,2,002,treatment_engine_alias,Jl. Soeprapto - Jl. HM. Rusli,63.06.05,Kandangan,516.85
HSS-KAB-003,hss-county-003,003,3,003,treatment_engine_alias,Jl. Pasar Kandangan - Oprit Jembatan Loklua,63.06.05,Kandangan,281.49
HSS-KAB-004,hss-county-004,004,4,004,exact_normalized,Jl. Soetoyo - Teluk Mesjid,63.06.05,Kandangan,258.94
HSS-KAB-005,hss-county-005,005,5,005,exact_normalized,Jl. Teluk Mesjid - SP.4 Muara Banta,63.06.05,Kandangan,1430.7
HSS-KAB-006,hss-county-006,006,326,006,exact_normalized,Jl. Merah Johansyah - Jl. Melati,63.06.05,Kandangan,828.08
HSS-KAB-007,hss-county-007,007,58,007,exact_normalized,Jl. Menuju Stadion 2 Desember,63.06.05,Kandangan,297.09
HSS-KAB-008,hss-county-008,008,13,008,exact_normalized,Jl. Aluh Idut,63.06.05,Kandangan,1341.94
HSS-KAB-009,hss-county-009,009,18,009,exact_normalized,Jl. Panglima Batur,63.06.05,Kandangan,1089.81
HSS-KAB-010,hss-county-010,010,15,010,exact_normalized,Jl. Nusa Indah,63.06.05,Kandangan,384.68
HSS-KAB-011,hss-county-011,011,10,011,exact_normalized,Jl. Anggrek,63.06.05,Kandangan,229.48
HSS-KAB-012,hss-county-012,012,11,012,exact_normalized,Jl. Kenanga,63.06.05,Kandangan,230.96
HSS-KAB-013,hss-county-013,013,54,,unresolved,Mawar (Kandangan Utara),63.06.05,Kandangan,228.23
HSS-KAB-014,hss-county-014,014,38,014,exact_normalized,Jl. Kamboja,63.06.05,Kandangan,214.09
HSS-KAB-015,hss-county-015,015,14,015,exact_normalized,Jl. Dahlia,63.06.05,Kandangan,182.5
HSS-KAB-016,hss-county-016,016,9,016,exact_normalized,Jl. KS. Tubun,63.06.05,Kandangan,961.89
HSS-KAB-017,hss-county-017,017,6,017,exact_normalized,Jl. Pemuda,63.06.05,Kandangan,274.36
HSS-KAB-018,hss-county-018,018,8,018,exact_normalized,Jl. Parindra,63.06.05,Kandangan,275.68
HSS-KAB-019,hss-county-019,019,7,019,exact_normalized,Jl. Wahab Syahrani,63.06.05,Kandangan,128.49
HSS-KAB-020,hss-county-020,020,7,,unresolved,Musyawarah (Kandangan),63.06.05,Kandangan,317.58
HSS-KAB-021,hss-county-021,021,43,,unresolved,Sekolah Islam (Kandangan Barat),63.06.05,Kandangan,197.62
HSS-KAB-022,hss-county-022,022,44,022,treatment_engine_alias,Jl. Rahma Bahran,63.06.05,Kandangan,221.0
HSS-KAB-023,hss-county-023,023,16,023,treatment_engine_alias,Jl. Brigjend. Katamso,63.06.05,Kandangan,352.32
