road_key,road_geometry_id,source_road_code,source_object_id,candidate_nomor_ruas,identity_match_status,display_name,village_id,village_name,district_id,district_name,intersection_length_m
HSS-KAB-110,hss-county-110,110,99,110,exact_normalized,Jl. Haritas (PT. Pertani),63.06.01.2010,Batang Kulur Tengah,63.06.01,Sungai Raya,446.57
HSS-KAB-110,hss-county-110,110,99,110,exact_normalized,Jl. Haritas (PT. Pertani),63.06.01.2006,Hariti,63.06.01,Sungai Raya,204.73
HSS-KAB-090,hss-county-090,090,69,090,treatment_engine_alias,Taal Batang Kulur - SP.3 Muara Paring Agung,63.06.01.2010,Batang Kulur Tengah,63.06.01,Sungai Raya,1376.78
HSS-KAB-090,hss-county-090,090,69,090,treatment_engine_alias,Taal Batang Kulur - SP.3 Muara Paring Agung,63.06.01.2006,Hariti,63.06.01,Sungai Raya,764.73
HSS-KAB-090,hss-county-090,090,69,090,treatment_engine_alias,Taal Batang Kulur - SP.3 Muara Paring Agung,63.06.01.2015,Sungai Kali,63.06.01,Sungai Raya,1975.42
HSS-KAB-141,hss-county-141,141,133,141,exact_normalized,Malilingin - Lokbahan - Paniungan,63.06.02.2017,Malilingin,63.06.02,Padang Batung,10650.71
HSS-KAB-155,hss-county-155,155,127,155,exact_normalized,Muara Pipii - Tambak Pipii,63.06.02.2015,Batu Laki,63.06.02,Padang Batung,4646.05
HSS-KAB-119,hss-county-119,119,97,119,exact_normalized,Jl. Hariti - Sungai Raya Selatan,63.06.01.2009,Batang Kulur Kiri,63.06.01,Sungai Raya,1654.39
HSS-KAB-119,hss-county-119,119,97,119,exact_normalized,Jl. Hariti - Sungai Raya Selatan,63.06.01.2006,Hariti,63.06.01,Sungai Raya,393.27
HSS-KAB-119,hss-county-119,119,97,119,exact_normalized,Jl. Hariti - Sungai Raya Selatan,63.06.01.2005,Sungai Raya Selatan,63.06.01,Sungai Raya,602.88
HSS-KAB-154,hss-county-154,154,126,154,treatment_engine_alias,Batulaki - Muara Pipii,63.06.02.2015,Batu Laki,63.06.02,Padang Batung,4256.72
HSS-KAB-147,hss-county-147,147,118,147,exact_normalized,Simpang Malutu - Tambak,63.06.02.2014,Jelatang,63.06.02,Padang Batung,122.59
HSS-KAB-147,hss-county-147,147,118,147,exact_normalized,Simpang Malutu - Tambak,63.06.02.2016,Malutu,63.06.02,Padang Batung,2736.49
HSS-KAB-099,hss-county-099,099,82,099,exact_normalized,Ida Manggala - Padang Makmur,63.06.01.2007,Ida Manggala,63.06.01,Sungai Raya,2830.83
HSS-KAB-099,hss-county-099,099,82,099,exact_normalized,Ida Manggala - Padang Makmur,63.06.02.2016,Malutu,63.06.02,Padang Batung,252.06
HSS-KAB-095,hss-county-095,095,75,095,exact_normalized,Sungai Raya Selatan - Malutu - Goa Berangin,63.06.02.2016,Malutu,63.06.02,Padang Batung,3658.52
HSS-KAB-095,hss-county-095,095,75,095,exact_normalized,Sungai Raya Selatan - Malutu - Goa Berangin,63.06.01.2005,Sungai Raya Selatan,63.06.01,Sungai Raya,2695.53
HSS-KAB-093,hss-county-093,093,73,093,exact_normalized,Taal Jarau - SP. Baru/Tampang,63.06.01.2011,Batang Kulur Kanan,63.06.01,Sungai Raya,12.39
HSS-KAB-093,hss-county-093,093,73,093,exact_normalized,Taal Jarau - SP. Baru/Tampang,63.06.01.2008,Bumi Berkat,63.06.01,Sungai Raya,2723.4
HSS-KAB-093,hss-county-093,093,73,093,exact_normalized,Taal Jarau - SP. Baru/Tampang,63.06.01.2007,Ida Manggala,63.06.01,Sungai Raya,2903.42
HSS-KAB-254,hss-county-254,254,94,254,exact_normalized,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,63.06.01.2014,Asam,63.06.01,Sungai Raya,473.45
HSS-KAB-254,hss-county-254,254,94,254,exact_normalized,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,63.06.09.2008,Sirih,63.06.09,Kalumpang,2570.64
HSS-KAB-254,hss-county-254,254,94,254,exact_normalized,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,63.06.09.2009,Sirih Hulu,63.06.09,Kalumpang,455.45
HSS-KAB-254,hss-county-254,254,94,254,exact_normalized,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,63.06.01.2013,Tamiyang,63.06.01,Sungai Raya,2599.74
HSS-KAB-096,hss-county-096,096,76,096,treatment_engine_alias,SP.4 Baru/Tampang - SP. Biluy Pamujaan,63.06.01.2014,Asam,63.06.01,Sungai Raya,1896.12
HSS-KAB-096,hss-county-096,096,76,096,treatment_engine_alias,SP.4 Baru/Tampang - SP. Biluy Pamujaan,63.06.01.2012,Baru,63.06.01,Sungai Raya,9.35
HSS-KAB-096,hss-county-096,096,76,096,treatment_engine_alias,SP.4 Baru/Tampang - SP. Biluy Pamujaan,63.06.01.2011,Batang Kulur Kanan,63.06.01,Sungai Raya,132.93
HSS-KAB-096,hss-county-096,096,76,096,treatment_engine_alias,SP.4 Baru/Tampang - SP. Biluy Pamujaan,63.06.01.2008,Bumi Berkat,63.06.01,Sungai Raya,228.13
HSS-KAB-096,hss-county-096,096,76,096,treatment_engine_alias,SP.4 Baru/Tampang - SP. Biluy Pamujaan,63.06.06.2002,Simpur,63.06.06,Simpur,5.84
HSS-KAB-096,hss-county-096,096,76,096,treatment_engine_alias,SP.4 Baru/Tampang - SP. Biluy Pamujaan,63.06.01.2015,Sungai Kali,63.06.01,Sungai Raya,5.56
