village_id,village_name,district_name,year,households_total,households_male,households_female,metric_label,source,source_reference
"63.06.04.2005","Angkinang","Angkinang",2025,760,575,185,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.04.2007","Angkinang Selatan","Angkinang",2025,371,255,116,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.04.2011","Bakarung","Angkinang",2025,936,655,281,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.04.2002","Bamban","Angkinang",2025,499,350,149,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.04.2003","Bamban Selatan","Angkinang",2025,447,335,112,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.04.2001","Bamban Utara","Angkinang",2025,554,406,148,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.04.2004","Kayu Abang","Angkinang",2025,787,575,212,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.04.2009","Taniran Kubah","Angkinang",2025,838,631,207,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.04.2010","Taniran Selatan","Angkinang",2025,545,401,144,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.04.2008","Tawia","Angkinang",2025,969,721,248,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.04.2006","Telaga Sili-Sili","Angkinang",2025,423,319,104,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.11.2004","Badaun","Daha Barat",2025,289,242,47,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.11.2005","Bajayau","Daha Barat",2025,345,280,65,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.11.2007","Bajayau Lama","Daha Barat",2025,426,357,69,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.11.2006","Bajayau Tengah","Daha Barat",2025,389,319,70,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.11.2002","Baru","Daha Barat",2025,330,264,66,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.11.2001","Siang Gantung","Daha Barat",2025,331,272,59,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.11.2003","Tanjung Selor","Daha Barat",2025,607,493,114,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.07.2004","Banjarbaru","Daha Selatan",2025,912,731,181,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.07.2013","Banua Hanyar","Daha Selatan",2025,1109,883,226,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.07.2015","Baruh Jaya","Daha Selatan",2025,2158,1669,489,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.07.2005","Bayanan","Daha Selatan",2025,627,470,157,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
"63.06.07.2010","Habirau","Daha Selatan",2025,771,575,196,"RUMAH TANGGA","DISDUKCAPIL_HSS_2025","DATA JUMLAH RUMAH TANGGA.xlsx"
