road_key,source_system,source_name
HSS-KAB-001,dashboard_2025,Jl. Pangeran Antasari - Loklua
HSS-KAB-001,qgis_county_roads,Jl. Pangeran Antasari - SP. Loklua
HSS-KAB-001,display,Pangeran Antasari - Loklua
HSS-KAB-002,dashboard_2025,Jl. Soeprapto - Jl. H.M Rusli
HSS-KAB-002,qgis_county_roads,Jl. Soeprapto - Jl. HM. Rusli
HSS-KAB-002,display,Soeprapto - Jl. H.M Rusli
HSS-KAB-003,dashboard_2025,Jl. Pasar Kandangan - Oprit Jembt. Loklua
HSS-KAB-003,qgis_county_roads,Jl. Pasar Kandangan - Oprit Jembatan Loklua
HSS-KAB-003,display,Pasar Kandangan - Oprit Jembt. Loklua
HSS-KAB-004,dashboard_2025,Jl. Soetoyo - Teluk Mesjid
HSS-KAB-004,qgis_county_roads,Jl. Soetoyo - Teluk Mesjid
HSS-KAB-004,display,Soetoyo - Teluk Mesjid
HSS-KAB-005,dashboard_2025,Jl. Teluk Mesjid - Sp. 4 Muara Banta
HSS-KAB-005,qgis_county_roads,Jl. Teluk Mesjid - SP.4 Muara Banta
HSS-KAB-005,display,Teluk Mesjid - Sp. 4 Muara Banta
HSS-KAB-006,dashboard_2025,Jl. Merah Johansyah - Jl. Melati
HSS-KAB-006,qgis_county_roads,Jl. Merah Johansyah - Jl. Melati
HSS-KAB-006,display,Merah Johansyah - Jl. Melati
HSS-KAB-007,dashboard_2025,Jl. Menuju Stadion 2 Desember
HSS-KAB-007,qgis_county_roads,Jl. Menuju Stadion 2 Desember
HSS-KAB-007,display,Menuju Stadion 2 Desember
HSS-KAB-008,dashboard_2025,Jl. Aluh Idut
HSS-KAB-008,qgis_county_roads,Jl. Aluh Idut
HSS-KAB-008,display,Aluh Idut
HSS-KAB-009,dashboard_2025,Jl. Panglima Batur
HSS-KAB-009,qgis_county_roads,Jl. Panglima Batur
HSS-KAB-009,display,Panglima Batur
HSS-KAB-010,dashboard_2025,Jl. Nusa Indah
HSS-KAB-010,qgis_county_roads,Jl. Nusa Indah
HSS-KAB-010,display,Nusa Indah
HSS-KAB-011,dashboard_2025,Jl. Anggrek
HSS-KAB-011,qgis_county_roads,Jl. Anggrek
HSS-KAB-011,display,Anggrek
HSS-KAB-012,dashboard_2025,Jl. Kenanga
HSS-KAB-012,qgis_county_roads,Jl. Kenanga
HSS-KAB-012,display,Kenanga
HSS-KAB-013,dashboard_2025,Jl. Mawar
HSS-KAB-013,qgis_county_roads,Jl. Mawar
HSS-KAB-013,display,Mawar (Kandangan Utara)
HSS-KAB-014,dashboard_2025,Jl. Kamboja
HSS-KAB-014,qgis_county_roads,Jl. Kamboja
HSS-KAB-014,display,Kamboja
HSS-KAB-015,dashboard_2025,Jl. Dahlia
HSS-KAB-015,qgis_county_roads,Jl. Dahlia
HSS-KAB-015,display,Dahlia
HSS-KAB-016,dashboard_2025,Jl. KS. Tubun
HSS-KAB-016,qgis_county_roads,Jl. KS. Tubun
HSS-KAB-016,display,KS. Tubun
HSS-KAB-017,dashboard_2025,Jl. Pemuda
HSS-KAB-017,qgis_county_roads,Jl. Pemuda
