source_layer,clean_name,feature_count,geometry_type,source_crs,exported,source_fields
_6306_50KB_AR_KS_KABUPATEN_HULUSUNGAISELATAN_2024,,0,3D MultiPolygon,EPSG:9518,0,NAMOBJ|WADMPR|WADMKK|SDTPTG|REMARK|SBDATA|SHAPE_Length|SHAPE_Area
_6306_50KB_AR_PR_KABUPATEN_HULUSUNGAISELATAN_2024,rtrw_pola_ruang,2832,3D MultiPolygon,EPSG:9518,1,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|KODKWS|JNSRPR|WADMPR|WADMKK|WADMKC|KKOP_1|KP2B_2|KRB_03|CAGBUD|RESAIR|KSMPDN|HANKAM|KKARST|PTBGMB|MGRSAT|RDBUMI|REMARK|LUASHA|SHAPE_Length|SHAPE_Area
_6306_50KB_PT_SR_ENERGI_KABUPATEN_HULUSUNGAISELATAN_2024,rtrw_energi_point,1,3D Point,EPSG:9518,1,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA
_6306_50KB_LN_SR_ENERGI_KABUPATEN_HULUSUNGAISELATAN_2024,rtrw_energi_line,3,3D MultiLineString,EPSG:9518,1,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA|SHAPE_Length
_6306_50KB_LN_SR_PRASARANALAIN_KABUPATEN_HULUSUNGAISELATAN_2024,,0,3D MultiLineString,EPSG:9518,0,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA|SHAPE_Length
_6306_50KB_PT_SR_PRASARANALAIN_KABUPATEN_HULUSUNGAISELATAN_2024,,0,3D Point,EPSG:9518,0,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA
_6306_50KB_PT_SR_PUSATPERMUKIMAN_KABUPATEN_HULUSUNGAISELATAN_2024,rtrw_pusat_permukiman,11,3D Point,EPSG:9518,1,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA
_6306_50KB_PT_SR_SDA_KABUPATEN_HULUSUNGAISELATAN_2024,rtrw_sda_point,6,3D Point,EPSG:9518,1,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA
_6306_50KB_LN_SR_SDA_KABUPATEN_HULUSUNGAISELATAN_2024,rtrw_sda_line,66,3D MultiLineString,EPSG:9518,1,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA|SHAPE_Length
_6306_50KB_PT_SR_TELEKOMUNIKASI_KABUPATEN_HULUSUNGAISELATAN_2024,rtrw_telekomunikasi_point,2,3D Point,EPSG:9518,1,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA
_6306_50KB_LN_SR_TELEKOMUNIKASI_KABUPATEN_HULUSUNGAISELATAN_2024,,0,3D MultiLineString,EPSG:9518,0,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA|SHAPE_Length
_6306_50KB_PT_SR_TRANSPORTASI_KABUPATEN_HULUSUNGAISELATAN_2024,rtrw_transportasi_point,5,3D Point,EPSG:9518,1,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA
_6306_50KB_LN_SR_TRANSPORTASI_KABUPATEN_HULUSUNGAISELATAN_2024,rtrw_transportasi_line,20,3D MultiLineString,EPSG:9518,1,NAMOBJ|ORDE01|ORDE02|ORDE03|ORDE04|JNSRSR|STSJRN|WADMPR|WADMKK|REMARK|SBDATA|SHAPE_Length
