road_key,road_id,nomor_ruas,canonical_name,display_name,source_ml_row_id,source_ml_name,norm_panjang_ruas,norm_lebar_ruas,norm_kondisi_sedang,norm_rusak_ringan,norm_rusak_berat,norm_permukaan_aspal_penmac,norm_permukaan_beton,norm_penduduk_dilayani,norm_desa_dilalui,norm_kecamatan_dilalui,norm_koneksi_jalan_provinsi,norm_koneksi_jalan_nasional,norm_jarak_rsud_cost,norm_jarak_puskesmas_cost,norm_jarak_sd_smp_cost,norm_jarak_pasar_cost,norm_jarak_ibukota_kabupaten_cost,label_top105
HSS-KAB-035,ba4021f1-0ea4-501b-b0ef-2cb4ac3bebd7,035,Jl. AES Nasution,AES Nasution,325,AES Nasution,0.010557184750733138,0.045454545454545456,0.0,0.0,0.0,0.9999999683701768,0.0,0.13840482573726542,0.0,0.0,0.0,0.0,0.9671274253236647,0.9550242615536816,0.9793676213176418,0.9979778558078949,0.9970510727736346,0
HSS-KAB-234,931275e5-9775-5489-880e-e85018397906,234,Jl. Air Miris - Ds. Wasah Hilir,Air Miris - Ds. Wasah Hilir,189,Air Miris - Ds. Wasah Hilir,0.05865102639296187,0.0,0.0,0.0,0.0,1.0,0.0,0.1291331546023235,0.125,0.0,0.0,1.0,0.8699669129938552,0.9051915013897395,0.9171725447841793,0.9972784164920429,0.8677847837915693,0
HSS-KAB-345,53dec18e-46b3-5380-8603-c351d34ad056,345,Jl. Al - Ikhlas - Ds. Baluti,Al - Ikhlas - Ds. Baluti,285,Al - Ikhlas - Ds. Baluti,0.0187683284457478,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.24318588025022342,0.125,0.0,0.0,0.0,0.9712846289528597,0.9336882272577378,0.9471279778530906,0.9964390893130204,0.9718720993502544,0
HSS-KAB-008,ec69190b-9671-5012-a17e-681bea59d85b,008,Jl. Aluh Idut,Aluh Idut,160,Aluh Idut,0.0750733137829912,0.18181818181818182,0.0,0.0,0.0,0.9999999211090332,0.0,0.6777256478999106,0.25,0.0,0.0,1.0,0.9362147081541601,0.9782446883685871,0.9827691085372363,0.9968581865549074,0.9853343148865346,1
HSS-KAB-032,35edcfd4-2de4-5e10-9eaa-d26d512ba917,032,Amawang Kanan - Wasah Hulu,Amawang Kanan - Wasah Hulu,75,Amawang Kanan - Wasah Hulu,0.18240469208211144,0.045454545454545456,0.9369085173501578,0.06309148264984228,0.0,0.9999999219509463,0.0,0.10991957104557641,0.125,0.5,0.0,1.0,0.9423848007286059,0.9205116125688981,0.9429195684828622,0.990709067225463,0.9385803753374089,1
HSS-KAB-031,b6930abb-0d46-52fe-a70b-1dd585b89608,031,Amawang Muka - Getek,Amawang Muka - Getek,33,Amawang Muka - Getek,0.31378299120234604,0.045454545454545456,0.07578558225508317,0.07393715341959335,0.0,0.9999999742232204,0.0,0.2615058087578195,0.375,0.0,0.0,0.0,0.8769071142827498,0.8244405709709333,0.976276488771368,0.9883499461969757,0.9245014883333866,0
HSS-KAB-139,9370dbb5-cab2-5d64-9523-4428df36d546,139,Ambarai - Madang,Ambarai - Madang,133,Ambarai - Madang,0.09853372434017595,0.045454545454545456,0.0,0.0,0.0,0.9999999405375483,0.0,0.10612153708668454,0.125,0.0,0.0,0.0,0.8366539468071615,0.8482640033919066,0.8723200873958761,0.9932570651866115,0.8876121584568276,0
HSS-KAB-187,fba74e7a-a278-590c-a3c9-dac943efbd3b,187,Jl. AMD - Ds. Lok Binuang,AMD - Ds. Lok Binuang,148,AMD - Ds. Lok Binuang,0.08856304985337243,0.045454545454545456,0.0,0.0,1.0,0.12738852389929495,0.0,0.06981680071492403,0.125,0.0,0.0,0.0,0.6795679090626117,0.8672351250765534,0.8349657989150001,0.9881647505238715,0.7478219121083123,0
HSS-KAB-214,43d4c9d9-e55b-5731-a202-9fcc92780a46,214,Amparaya - Karangan - Hanau,Amparaya - Karangan - Hanau,53,Amparaya - Karangan - Hanau,0.2521994134897361,0.045454545454545456,0.4495412844036696,0.0,0.0,0.9999999153958679,0.0,0.09986595174262734,0.125,0.0,0.0,0.0,0.7643997648170991,0.7560088566448391,0.8500738644122503,0.986949368522399,0.7830639396558162,0
HSS-KAB-011,3c8f50f8-34f8-5658-b73f-8209b7f2ae7b,011,Jl. Anggrek,Anggrek,328,Anggrek,0.00997067448680352,0.0,0.0,0.0,0.0,0.9999999278778922,0.0,0.4683869526362824,0.125,0.0,0.0,0.0,0.9370055683010341,0.9624581900409855,0.975630951050861,0.9977867134847369,0.9860662121648582,0
