source_name,target_name,source,status
Taal Batang Kulur - SP.3 Muara Paring Agung,Taal Batang Kulur - Sp. 3 Muara Prg Agung,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Batulaki - Muara Pipii,Batu Laki - Muara Pipii,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
SP.4 Baru/Tampang - SP. Biluy Pamujaan,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Brigjend. Katamso,Brigjen Katamso,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Kalumpang (Ds. Belanti) - Teratai,Kalumpang (Ds. Balanti) - Teratai,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Soeprapto - Jl. HM. Rusli,Soeprapto - H.M Rusli,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Papagaran/Pelangsatan,Papagaran/Palangsatan,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Tanayung - Simpang Ambarai,Tanayung - Simp. Ambarai,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Simpur - Simpang Bilui,Simpur - Simp. Bilui,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Sei. Mandala - Murung Raya,Sei. Mandala Murung Raya,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Cakingan Herman,Cangkingan Herman,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Pakan Dalam - Keminting Batu,Pakan Dalam - Kaminting Batu,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Keminting Batu,Kaminting Batu,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Banyu Barau - Sungai Kalang,Banyu Barau - Sei Kalang,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Paharuangan - Sungai Raya Selatan,Paharuangan - Sei. Raya Selatan,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Rahma Bahran,Rahmah Bahran,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Pasar Kandangan - Oprit Jembatan Loklua,Pasar Kandangan - Oprit Jembt. Loklua,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Kesehatan - Komp. Rumah Dokter,Kesehatan - Komp. Rmh Dokter,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Tibung Raya - Asam Cangkok,Tibung Raya - Asam Cangkuk,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Mesjid Kuba,Mesjid Quba,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Bamban Selatan - Tangang - Panggang Hijau,Bamban Selatan - Tanggang - Panggang Hijau,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Silaturahim,Silaturrahim,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Buluh Ds. Tebing Tinggi,Buluh - Ds. Tebing Tinggi,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. HM. Thaib,H.M. Thaib,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Sakincung Ds. Hakurun Dalam,Sakincung - Ds. Hakurung Dalam,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Ds. Kapuh Tengah (Jl. Menuju Majelis Taklim),Ds. Kapuh Tengah (Menuju Majelis Talim),TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Gerilya Ds. Simpur,Gerilya - Ds. Simpur,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Bubuih (Ds. Halunuk),Bubuih - Ds. Halunuk,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Padang Batung - Batu Laki - Malilingin,Padang Batung - Batulaki - Malilingin,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Jl. Badaun - Ds. Bajayau Lama,Badaun - Ds. Bjayau Lama,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Simp. Bakarung Selatan - Sungai Kudung,Sp. Bakarung Selatan - Sungai Kudung,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
Simpang Jadi Makmur Ds. Samuda,Simpang Jadi Makmur - Ds. Samuda,TreatmentEnginePage TE_DD2_LOCAL_ALIASES,existing_runtime_alias
